Foret;Peuplement;Strates;LongueurMax;LargeurMax
entretenue;CX;H;5,5;2,7
entretenue;CX;H;5,2;2,9
entretenue;CX;H;3,7;2,6
entretenue;CX;H;4;1,7
entretenue;CX;H;5,7;3,5
entretenue;CX;H;6,7;4,7
entretenue;CX;H;4,7;3,1
entretenue;CX;H;4,5;3,3
entretenue;CX;H;3;2,1
entretenue;CX;H;3,3;1,9
entretenue;CX;H;4,3;1,6
entretenue;CX;H;3,9;2
entretenue;CX;H;4;2,1
entretenue;CX;H;4,5;2,3
entretenue;CX;H;3,9;2
entretenue;CX;H;3,5;2,2
entretenue;CX;H;4,2;2,5
entretenue;CX;H;4,5;2,5
entretenue;CX;H;4,5;2,2
entretenue;CX;H;4,5;2
entretenue;CX;I;5,9;4,1
entretenue;CX;I;5,5;3,9
entretenue;CX;I;5,7;3,7
entretenue;CX;I;5,7;3,7
entretenue;CX;I;4,3;2,9
entretenue;CX;I;4,9;3,3
entretenue;CX;I;6,6;3,8
entretenue;CX;I;6,6;3,8
entretenue;CX;I;4,4;2,6
entretenue;CX;I;5,3;3,3
entretenue;CX;I;5,3;3,3
entretenue;CX;I;3,5;2,2
entretenue;CX;I;3,5;2,2
entretenue;CX;I;3,2;1,9
entretenue;CX;I;3,1;1,5
entretenue;CX;I;5,8;3,3
entretenue;CX;I;3,9;2,3
entretenue;CX;I;6,4;3,4
entretenue;CX;I;6;2,7
entretenue;CX;I;7,4;4,5
entretenue;HER;H;4,6;3
entretenue;HER;H;4,5;2,6
entretenue;HER;H;5,5;2,8
entretenue;HER;H;4,9;3,1
entretenue;HER;H;6,1;3,5
entretenue;HER;H;6,1;3,5
entretenue;HER;H;3,8;2,3
entretenue;HER;H;3,8;2,3
entretenue;HER;H;3,8;2,3
entretenue;HER;H;3,8;2,3
entretenue;HER;H;4,3;2,2
entretenue;HER;H;6,2;3,2
entretenue;HER;H;5,2;2,9
entretenue;HER;H;5;2,3
entretenue;HER;H;5,4;2,4
entretenue;HER;H;3;2,3
entretenue;HER;H;6;2,3
entretenue;HER;H;6,7;3,3
entretenue;HER;H;5,6;2,8
entretenue;HER;H;5,6;2,8
entretenue;HER;I;3,2;2,1
entretenue;HER;I;4,7;2,7
entretenue;HER;I;3,9;2,4
entretenue;HER;I;4,2;2,5
entretenue;HER;I;6,3;3,1
entretenue;HER;I;6,5;3,2
entretenue;HER;I;4,8;2,3
entretenue;HER;I;6,4;2,5
entretenue;HER;I;3,8;1,6
entretenue;HER;I;6;2,9
entretenue;HER;I;6;2,9
entretenue;HER;I;4;1,9
entretenue;HER;I;3,8;1,8
entretenue;HER;I;7;2,9
entretenue;HER;I;4,7;2,7
entretenue;HER;I;4,2;2,3
entretenue;HER;I;4,2;2,3
entretenue;HER;I;7,1;2,9
entretenue;HER;I;3,6;2
entretenue;HER;I;4,968421053;2,473684211
mixte;BG;H;4,9;3,2
mixte;BG;H;3,2;2,5
mixte;BG;H;5;3
mixte;BG;H;5;2,6
mixte;BG;H;3,1;1,5
mixte;BG;H;4,9;3,5
mixte;BG;H;4,9;3,5
mixte;BG;H;6,8;5
mixte;BG;H;6,9;5,1
mixte;BG;H;4,3;2,8
mixte;BG;H;4,3;2,8
mixte;BG;H;5,7;3,9
mixte;BG;H;4,2;2,4
mixte;BG;H;5;2,8
mixte;BG;H;6,4;3,4
mixte;BG;H;7,5;4,4
mixte;BG;H;7,5;4,4
mixte;BG;H;6,7;4
mixte;BG;H;6,2;4
mixte;BG;H;7;5,4
mixte;BG;I;3,5;1,7
mixte;BG;I;6,4;4
mixte;BG;I;2,7;1,6
mixte;BG;I;6,4;3,2
mixte;BG;I;3,1;1,8
mixte;BG;I;4,5;2,4
mixte;BG;I;4,3;2,4
mixte;BG;I;4,1;2,4
mixte;BG;I;5;2,7
mixte;BG;I;6,3;3,3
mixte;BG;I;6,4;4
mixte;BG;I;5,1;3,4
mixte;BG;I;4,9;2,9
mixte;BG;I;3,2;2,1
mixte;BG;I;3,2;2,3
mixte;BG;I;8,1;4,1
mixte;BG;I;4;2,3
mixte;BG;I;5,6;2,9
mixte;BG;I;4,9;2
mixte;BG;I;4,1;2,6
mixte;FR;H;5,2;2,9
mixte;FR;H;4,6;3,4
mixte;FR;H;6,2;4,8
mixte;FR;H;6,4;4
mixte;FR;H;6,7;5,5
mixte;FR;H;7,2;5,2
mixte;FR;H;8;5,7
mixte;FR;H;5,3;3,1
mixte;FR;H;4,8;3,8
mixte;FR;H;4,2;3
mixte;FR;H;6,7;4,1
mixte;FR;H;3,8;2,1
mixte;FR;H;4,1;2,5
mixte;FR;H;4,6;3,2
mixte;FR;H;4,9;3,5
mixte;FR;H;4,4;3,2
mixte;FR;H;4,5;3,3
mixte;FR;H;4,8;3,2
mixte;FR;H;4,2;2,5
mixte;FR;H;3,8;2,6
mixte;FR;I;8,6;5,4
mixte;FR;I;4,7;2,6
mixte;FR;I;6,3;4
mixte;FR;I;6,8;4,5
mixte;FR;I;6,6;4,3
mixte;FR;I;7,1;4,5
mixte;FR;I;5,1;3,4
mixte;FR;I;7,5;5,2
mixte;FR;I;6,7;4,3
mixte;FR;I;6,6;2,5
mixte;FR;I;5,8;3,8
mixte;FR;I;6,1;3,5
mixte;FR;I;5,4;3,3
mixte;FR;I;4,8;2,5
mixte;FR;I;4,9;2,1
mixte;FR;I;3,2;1,4
mixte;FR;I;7,7;4,4
mixte;FR;I;8,6;5
mixte;FR;I;9,1;4,7
mixte;FR;I;5;2,6
